YEAR,MONTH,PU_BOROUGH,PU_ZONE,TRIPS
2015,1,Manhattan,Upper East Side South,465778
2015,1,Manhattan,Midtown Center,444793
2015,1,Manhattan,Upper East Side North,443941
2015,1,Manhattan,East Village,436165
2015,1,Manhattan,Times Sq/Theatre District,427351
2015,1,Manhattan,Union Sq,421911
2015,1,Manhattan,Murray Hill,409741
2015,1,Manhattan,Midtown East,409089
2015,1,Manhattan,Clinton East,399299
2015,1,Manhattan,Penn Station/Madison Sq West,391445
2015,2,Manhattan,Upper East Side South,445672
2015,2,Manhattan,East Village,420282
2015,2,Manhattan,Midtown Center,416770
2015,2,Manhattan,Upper East Side North,415773
2015,2,Manhattan,Union Sq,414198
2015,2,Manhattan,Times Sq/Theatre District,404311
2015,2,Manhattan,Midtown East,403307
2015,2,Manhattan,Murray Hill,401800
2015,2,Manhattan,Clinton East,384865
2015,2,Manhattan,Penn Station/Madison Sq West,372054
2015,3,Manhattan,Upper East Side South,471954
2015,3,Manhattan,Midtown Center,462226
2015,3,Manhattan,Times Sq/Theatre District,439964
2015,3,Manhattan,Midtown East,439837
2015,3,Manhattan,Murray Hill,438390
2015,3,Manhattan,East Village,438103
2015,3,Manhattan,Upper East Side North,437474
2015,3,Manhattan,Union Sq,429897
2015,3,Manhattan,Penn Station/Madison Sq West,423054
2015,3,Manhattan,Clinton East,416122
2015,4,Manhattan,Upper East Side South,496134
2015,4,Manhattan,Midtown Center,458851
2015,4,Manhattan,Upper East Side North,456657
2015,4,Manhattan,Midtown East,436121
2015,4,Manhattan,Murray Hill,422963
2015,4,Manhattan,Union Sq,419531
2015,4,Manhattan,East Village,415651
2015,4,Manhattan,Times Sq/Theatre District,410481
2015,4,Manhattan,Penn Station/Madison Sq West,400165
2015,4,Manhattan,Clinton East,399844
2015,5,Manhattan,Upper East Side South,482974
2015,5,Manhattan,Upper East Side North,450784
2015,5,Manhattan,East Village,433466
2015,5,Manhattan,Midtown Center,430501
2015,5,Manhattan,Murray Hill,409191
2015,5,Manhattan,Midtown East,408614
2015,5,Manhattan,Union Sq,407123
2015,5,Manhattan,Clinton East,403727
2015,5,Manhattan,Times Sq/Theatre District,400519
2015,5,Manhattan,Penn Station/Madison Sq West,390180
2015,6,Manhattan,Upper East Side South,453258
2015,6,Manhattan,Midtown Center,421163
2015,6,Manhattan,Upper East Side North,415456
2015,6,Manhattan,Midtown East,405395
2015,6,Manhattan,Murray Hill,395264
2015,6,Manhattan,Penn Station/Madison Sq West,393022
2015,6,Manhattan,East Village,392576
2015,6,Manhattan,Union Sq,392151
2015,6,Manhattan,Times Sq/Theatre District,389568
2015,6,Manhattan,Clinton East,386655
2015,7,Manhattan,Midtown Center,422615
2015,7,Manhattan,Penn Station/Madison Sq West,397178
2015,7,Manhattan,Midtown East,392357
2015,7,Manhattan,Upper East Side South,391128
2015,7,Manhattan,Murray Hill,389960
2015,7,Manhattan,Times Sq/Theatre District,381176
2015,7,Manhattan,Union Sq,378479
2015,7,Manhattan,East Village,372059
2015,7,Manhattan,Clinton East,364634
2015,7,Manhattan,Upper East Side North,335401
2015,8,Manhattan,Midtown Center,405300
2015,8,Manhattan,Penn Station/Madison Sq West,394008
2015,8,Manhattan,Murray Hill,377020
2015,8,Manhattan,Union Sq,376408
2015,8,Manhattan,Times Sq/Theatre District,372960
2015,8,Manhattan,East Village,372775
2015,8,Manhattan,Midtown East,371934
2015,8,Manhattan,Clinton East,358866
2015,8,Manhattan,Upper East Side South,349126
2015,8,Manhattan,Upper East Side North,297891
2015,9,Manhattan,Upper East Side South,406890
2015,9,Manhattan,Upper East Side North,370670
2015,9,Manhattan,Union Sq,370292
2015,9,Manhattan,East Village,367512
2015,9,Manhattan,Penn Station/Madison Sq West,360812
2015,9,Manhattan,Murray Hill,360653
