YEAR,MONTH,DO_BOROUGH,DO_ZONE,TRIPS
2015,1,Manhattan,Midtown Center,471883
2015,1,Manhattan,Upper East Side North,456283
2015,1,Manhattan,Upper East Side South,410262
2015,1,Manhattan,Murray Hill,406040
2015,1,Manhattan,Times Sq/Theatre District,400879
2015,1,Manhattan,Midtown East,378833
2015,1,Manhattan,Union Sq,370050
2015,1,Manhattan,East Village,369966
2015,1,Manhattan,Clinton East,355512
2015,1,Manhattan,Penn Station/Madison Sq West,345454
2015,2,Manhattan,Midtown Center,461171
2015,2,Manhattan,Upper East Side North,423553
2015,2,Manhattan,Murray Hill,391096
2015,2,Manhattan,Upper East Side South,389296
2015,2,Manhattan,Times Sq/Theatre District,375125
2015,2,Manhattan,Midtown East,371174
2015,2,Manhattan,Union Sq,367650
2015,2,Manhattan,East Village,350599
2015,2,Manhattan,Clinton East,330370
2015,2,Manhattan,Penn Station/Madison Sq West,323266
2015,3,Manhattan,Midtown Center,505631
2015,3,Manhattan,Upper East Side North,444991
2015,3,Manhattan,Murray Hill,430541
2015,3,Manhattan,Times Sq/Theatre District,421970
2015,3,Manhattan,Upper East Side South,413707
2015,3,Manhattan,Midtown East,405331
2015,3,Manhattan,Union Sq,382317
2015,3,Manhattan,Penn Station/Madison Sq West,363018
2015,3,Manhattan,East Village,357453
2015,3,Manhattan,Clinton East,357369
2015,4,Manhattan,Midtown Center,501053
2015,4,Manhattan,Upper East Side North,467719
2015,4,Manhattan,Upper East Side South,439235
2015,4,Manhattan,Murray Hill,417026
2015,4,Manhattan,Times Sq/Theatre District,406859
2015,4,Manhattan,Midtown East,405288
2015,4,Manhattan,Union Sq,376285
2015,4,Manhattan,Penn Station/Madison Sq West,346945
2015,4,Manhattan,East Village,340905
2015,4,Manhattan,Clinton East,339195
2015,5,Manhattan,Midtown Center,479276
2015,5,Manhattan,Upper East Side North,463788
2015,5,Manhattan,Upper East Side South,434788
2015,5,Manhattan,Murray Hill,403630
2015,5,Manhattan,Times Sq/Theatre District,402107
2015,5,Manhattan,Midtown East,394273
2015,5,Manhattan,Union Sq,359060
2015,5,Manhattan,East Village,352139
2015,5,Manhattan,Clinton East,348720
2015,5,Manhattan,Penn Station/Madison Sq West,346056
2015,6,Manhattan,Midtown Center,473862
2015,6,Manhattan,Upper East Side North,427110
2015,6,Manhattan,Upper East Side South,399200
2015,6,Manhattan,Murray Hill,395870
2015,6,Manhattan,Times Sq/Theatre District,393785
2015,6,Manhattan,Midtown East,393689
2015,6,Manhattan,Union Sq,349816
2015,6,Manhattan,Penn Station/Madison Sq West,342740
2015,6,Manhattan,Clinton East,333821
2015,6,Manhattan,East Village,322502
2015,7,Manhattan,Midtown Center,462733
2015,7,Manhattan,Times Sq/Theatre District,391250
2015,7,Manhattan,Murray Hill,387337
2015,7,Manhattan,Midtown East,383631
2015,7,Manhattan,Upper East Side North,346524
2015,7,Manhattan,Penn Station/Madison Sq West,345032
2015,7,Manhattan,Upper East Side South,343004
2015,7,Manhattan,Union Sq,337883
2015,7,Manhattan,Clinton East,321618
2015,7,Manhattan,East Village,309149
2015,8,Manhattan,Midtown Center,429996
2015,8,Manhattan,Murray Hill,376839
2015,8,Manhattan,Times Sq/Theatre District,375894
2015,8,Manhattan,Midtown East,353262
2015,8,Manhattan,Penn Station/Madison Sq West,336602
2015,8,Manhattan,Union Sq,326578
2015,8,Manhattan,Clinton East,323729
2015,8,Manhattan,Upper East Side North,314594
2015,8,Manhattan,Upper East Side South,312581
2015,8,Manhattan,East Village,309840
2015,9,Manhattan,Midtown Center,395545
2015,9,Manhattan,Upper East Side North,378850
2015,9,Manhattan,Murray Hill,363506
2015,9,Manhattan,Upper East Side South,357253
2015,9,Manhattan,Times Sq/Theatre District,347999
2015,9,Manhattan,Midtown East,330415
2015,9,Manhattan,Union Sq,326243
2015,9,Manhattan,Clinton East,312509
2015,9,Manhattan,Penn Station/Madison Sq West,311759
2015,9,Manhattan,East Village,305516
2015,10,Manhattan,Midtown Center,456779
2015,10,Manhattan,Upper East Side North,445103
2015,10,Manhattan,Upper East Side South,414809
2015,10,Manhattan,Murray Hill,393900
2015,10,Manhattan,Times Sq/Theatre District,383586
2015,10,Manhattan,Midtown East,377323
2015,10,Manhattan,Union Sq,353231
2015,10,Manhattan,East Village,337255
2015,10,Manhattan,Clinton East,334001
2015,10,Manhattan,Penn Station/Madison Sq West,330743
2015,11,Manhattan,Midtown Center,429384
2015,11,Manhattan,Upper East Side North,414859
2015,11,Manhattan,Upper East Side South,389950
2015,11,Manhattan,Murray Hill,357532
2015,11,Manhattan,Times Sq/Theatre District,352552
2015,11,Manhattan,Midtown East,346008
2015,11,Manhattan,Union Sq,314699
2015,11,Manhattan,Penn Station/Madison Sq West,312179
2015,11,Manhattan,Clinton East,310720
2015,11,Manhattan,East Village,303615
2015,12,Manhattan,Midtown Center,435297
2015,12,Manhattan,Upper East Side North,419169
2015,12,Manhattan,Upper East Side South,390591
2015,12,Manhattan,Murray Hill,366894
2015,12,Manhattan,Times Sq/Theatre District,357025
2015,12,Manhattan,Midtown East,354907
2015,12,Manhattan,Penn Station/Madison Sq West,324637
2015,12,Manhattan,Union Sq,317266
2015,12,Manhattan,Clinton East,314720
2015,12,Manhattan,East Village,306725
2016,1,Manhattan,Upper East Side North,408638
2016,1,Manhattan,Midtown Center,402965
2016,1,Manhattan,Upper East Side South,362247
2016,1,Manhattan,Murray Hill,350226
2016,1,Manhattan,Times Sq/Theatre District,330489
2016,1,Manhattan,Midtown East,326901
2016,1,Manhattan,Union Sq,312947
2016,1,Manhattan,East Village,304387
2016,1,Manhattan,Penn Station/Madison Sq West,297480
2016,1,Manhattan,Clinton East,297195
2016,2,Manhattan,Midtown Center,438408
2016,2,Manhattan,Upper East Side North,410659
2016,2,Manhattan,Upper East Side South,369136
2016,2,Manhattan,Murray Hill,365469
2016,2,Manhattan,Times Sq/Theatre District,343830
2016,2,Manhattan,Midtown East,339062
2016,2,Manhattan,Union Sq,336011
2016,2,Manhattan,East Village,314819
2016,2,Manhattan,Penn Station/Madison Sq West,312796
2016,2,Manhattan,Clinton East,306007
2016,3,Manhattan,Midtown Center,466568
2016,3,Manhattan,Upper East Side North,424717
2016,3,Manhattan,Murray Hill,398471
2016,3,Manhattan,Upper East Side South,396019
2016,3,Manhattan,Times Sq/Theatre District,379689
2016,3,Manhattan,Midtown East,373913
2016,3,Manhattan,Union Sq,356750
2016,3,Manhattan,Penn Station/Madison Sq West,343587
2016,3,Manhattan,Clinton East,328666
2016,3,Manhattan,East Village,328129
2016,4,Manhattan,Midtown Center,441943
2016,4,Manhattan,Upper East Side North,436060
2016,4,Manhattan,Upper East Side South,405633
2016,4,Manhattan,Murray Hill,377963
2016,4,Manhattan,Midtown East,359829
2016,4,Manhattan,Times Sq/Theatre District,354505
2016,4,Manhattan,Union Sq,344360
2016,4,Manhattan,East Village,322960
2016,4,Manhattan,Penn Station/Madison Sq West,321499
2016,4,Manhattan,Clinton East,320511
2016,5,Manhattan,Upper East Side North,443848
2016,5,Manhattan,Midtown Center,442015
2016,5,Manhattan,Upper East Side South,410002
2016,5,Manhattan,Murray Hill,363130
2016,5,Manhattan,Times Sq/Theatre District,354931
2016,5,Manhattan,Midtown East,353199
2016,5,Manhattan,Union Sq,327959
2016,5,Manhattan,Penn Station/Madison Sq West,320219
2016,5,Manhattan,Clinton East,313990
2016,5,Manhattan,East Village,303416
2016,6,Manhattan,Midtown Center,427563
