DAY_OF_WEEK,PICKUP_HOUR,TRIPS
0,0,119612
0,1,104410
0,2,86499
0,3,65653
0,4,40637
0,5,18839
0,6,17986
0,7,23964
0,8,36331
0,9,55210
0,10,76227
0,11,90518
0,12,98457
0,13,100307
0,14,99411
0,15,95177
0,16,92170
0,17,94044
0,18,97175
0,19,87552
0,20,78295
0,21,71073
0,22,65449
0,23,54840
1,0,39190
1,1,24933
1,2,17133
1,3,12847
1,4,12845
1,5,18036
1,6,42411
1,7,72350
1,8,90080
1,9,85851
1,10,76644
1,11,77065
1,12,81898
1,13,82788
1,14,84097
1,15,80232
1,16,70491
1,17,78925
1,18,91217
1,19,86165
1,20,75569
1,21,68418
1,22,57919
1,23,41885
2,0,30171
2,1,16967
2,2,10725
2,3,6979
2,4,7552
2,5,13414
2,6,36624
2,7,67649
2,8,83295
2,9,77693
2,10,68836
2,11,68438
2,12,71153
2,13,70240
2,14,77460
2,15,78879
2,16,72026
2,17,87068
2,18,108800
2,19,105943
2,20,100378
2,21,98006
2,22,84615
2,23,61832
3,0,39424
3,1,23984
3,2,15039
3,3,10450
3,4,10345
3,5,17302
3,6,48559
3,7,90775
3,8,110646
3,9,101549
3,10,86968
3,11,83899
3,12,86113
3,13,85106
3,14,92142
3,15,91642
3,16,81507
3,17,100894
3,18,125942
3,19,128778
3,20,118804
3,21,115869
3,22,106209
3,23,75937
4,0,83345
4,1,67224
4,2,51931
4,3,42123
4,4,33386
4,5,30114
4,6,58865
4,7,101154
4,8,119814
4,9,112005
4,10,100806
4,11,100876
4,12,107548
4,13,106417
4,14,114956
4,15,116140
4,16,101064
4,17,120848
4,18,147819
4,19,151769
4,20,143986
4,21,142428
4,22,135028
4,23,112647
5,0,78633
5,1,49670
5,2,33212
5,3,22488
5,4,19084
5,5,22362
5,6,55144
5,7,97598
5,8,116189
5,9,114819
5,10,105377
5,11,105725
5,12,110706
5,13,110386
5,14,120893
5,15,118960
5,16,105997
5,17,131024
5,18,161666
5,19,173065
5,20,159876
5,21,153904
5,22,159123
5,23,157335
6,0,145425
6,1,121685
6,2,93720
6,3,69759
6,4,45655
6,5,23096
6,6,26414
6,7,37747
6,8,59578
6,9,87539
6,10,104153
6,11,120274
6,12,132268
6,13,134663
6,14,130897
6,15,136207
6,16,128731
6,17,139515
6,18,160722
6,19,167552
6,20,145283
6,21,143540
6,22,156705
6,23,161771
