YEAR,MONTH,PU_BOROUGH,SERVICE,TRIPS,MIX
2015,1,Bronx,green,87431,0.906697
2015,1,Bronx,yellow,8997,0.093303
2015,1,Brooklyn,green,564189,0.713107
2015,1,Brooklyn,yellow,226981,0.286893
2015,1,EWR,green,11,0.050926
2015,1,EWR,yellow,205,0.949074
2015,1,Manhattan,green,426685,0.035564
2015,1,Manhattan,yellow,11570997,0.964436
2015,1,N/A,green,489,0.095044
2015,1,N/A,yellow,4656,0.904956
2015,1,Queens,green,404404,0.392528
2015,1,Queens,yellow,625851,0.607472
2015,1,Staten Island,green,188,0.548105
2015,1,Staten Island,yellow,155,0.451895
2015,1,Unknown,green,1409,0.006163
2015,1,Unknown,yellow,227231,0.993837
