PU_BOROUGH,PU_ZONE,DO_BOROUGH,DO_ZONE,TRIPS,AVG_TICKET
Unknown,N/A,Unknown,N/A,7271218,16.72171838610808
Manhattan,Upper East Side South,Manhattan,Upper East Side North,4472024,10.302844707452374
Manhattan,Upper East Side North,Manhattan,Upper East Side South,3819850,11.105609285704936
Manhattan,Upper East Side North,Manhattan,Upper East Side North,3496219,8.365502833203527
Manhattan,Upper East Side South,Manhattan,Upper East Side South,3339073,8.890422515470613
Manhattan,Upper West Side South,Manhattan,Upper West Side North,1999736,8.874631796397123
Manhattan,Upper West Side South,Manhattan,Lincoln Square East,1984510,9.413187340955702
Manhattan,Upper East Side South,Manhattan,Midtown Center,1918068,12.084961534210468
Manhattan,Upper East Side South,Manhattan,Midtown East,1913537,10.672390019111205
Manhattan,Lincoln Square East,Manhattan,Upper West Side South,1893690,9.868796497842837
Manhattan,Midtown Center,Manhattan,Upper East Side South,1833561,11.701359485722046
Manhattan,Upper West Side North,Manhattan,Upper West Side South,1726408,8.842627455387138
Manhattan,Lenox Hill West,Manhattan,Upper East Side North,1699897,10.094815974144316
Manhattan,Penn Station/Madison Sq West,Manhattan,Times Sq/Theatre District,1659819,12.441738424490865
Manhattan,Penn Station/Madison Sq West,Manhattan,Midtown Center,1646907,13.100265497687484
Manhattan,Times Sq/Theatre District,Manhattan,Penn Station/Madison Sq West,1530689,10.743364517547327
Manhattan,Upper East Side South,Manhattan,Lenox Hill West,1524250,9.230760885681482
Manhattan,Gramercy,Manhattan,Murray Hill,1504748,10.303042250263832
Manhattan,Lenox Hill West,Manhattan,Upper East Side South,1469510,9.751972963777042
Manhattan,Yorkville West,Manhattan,Upper East Side North,1466747,8.533616411010215
