YEAR,MONTH,PU_BOROUGH,LENGTH_BUCKET,TRIPS,SHARE_BUCKET
2015,1,Bronx,LONG>=5mi,14239,0.147665
2015,1,Bronx,MED<5mi,60366,0.626021
2015,1,Bronx,SHORT<1mi,21823,0.226314
2015,1,Brooklyn,LONG>=5mi,140436,0.177504
2015,1,Brooklyn,MED<5mi,507346,0.64126
2015,1,Brooklyn,SHORT<1mi,143388,0.181235
2015,1,EWR,LONG>=5mi,55,0.25463
2015,1,EWR,MED<5mi,54,0.25
2015,1,EWR,SHORT<1mi,107,0.49537
2015,1,Manhattan,LONG>=5mi,1131355,0.094298
2015,1,Manhattan,MED<5mi,7868333,0.655821
2015,1,Manhattan,SHORT<1mi,2997994,0.249881
2015,1,N/A,LONG>=5mi,1061,0.20622
2015,1,N/A,MED<5mi,2470,0.480078
2015,1,N/A,SHORT<1mi,1614,0.313703
2015,1,Queens,LONG>=5mi,539508,0.523665
2015,1,Queens,MED<5mi,360875,0.350277
2015,1,Queens,SHORT<1mi,129872,0.126058
2015,1,Staten Island,LONG>=5mi,134,0.390671
2015,1,Staten Island,MED<5mi,151,0.440233
2015,1,Staten Island,SHORT<1mi,58,0.169096
2015,1,Unknown,LONG>=5mi,28147,0.123106
2015,1,Unknown,MED<5mi,143906,0.6294
2015,1,Unknown,SHORT<1mi,56587,0.247494
2015,2,Bronx,LONG>=5mi,17714,0.136934
2015,2,Bronx,MED<5mi,83237,0.643442
2015,2,Bronx,SHORT<1mi,28411,0.219624
2015,2,Brooklyn,LONG>=5mi,147973,0.179065
2015,2,Brooklyn,MED<5mi,528412,0.639442
2015,2,Brooklyn,SHORT<1mi,149979,0.181493
2015,2,EWR,LONG>=5mi,49,0.227907
2015,2,EWR,MED<5mi,70,0.325581
2015,2,EWR,SHORT<1mi,96,0.446512
2015,2,Manhattan,LONG>=5mi,1166766,0.099623
2015,2,Manhattan,MED<5mi,7598173,0.648758
2015,2,Manhattan,SHORT<1mi,2946933,0.251619
2015,2,N/A,LONG>=5mi,1088,0.186717
2015,2,N/A,MED<5mi,2864,0.491505
2015,2,N/A,SHORT<1mi,1875,0.321778
2015,2,Queens,LONG>=5mi,511479,0.50342
2015,2,Queens,MED<5mi,371503,0.365649
2015,2,Queens,SHORT<1mi,133027,0.130931
2015,2,Staten Island,LONG>=5mi,135,0.364865
2015,2,Staten Island,MED<5mi,158,0.427027
2015,2,Staten Island,SHORT<1mi,77,0.208108
2015,2,Unknown,LONG>=5mi,28973,0.125608
2015,2,Unknown,MED<5mi,143860,0.623683
2015,2,Unknown,SHORT<1mi,57829,0.250709
2015,3,Bronx,LONG>=5mi,20837,0.142996
2015,3,Bronx,MED<5mi,94714,0.649986
2015,3,Bronx,SHORT<1mi,30166,0.207018
2015,3,Brooklyn,LONG>=5mi,164594,0.181498
2015,3,Brooklyn,MED<5mi,585418,0.645542
2015,3,Brooklyn,SHORT<1mi,156851,0.17296
2015,3,EWR,LONG>=5mi,68,0.298246
2015,3,EWR,MED<5mi,54,0.236842
2015,3,EWR,SHORT<1mi,106,0.464912
2015,3,Manhattan,LONG>=5mi,1292497,0.103414
2015,3,Manhattan,MED<5mi,8156645,0.652624
2015,3,Manhattan,SHORT<1mi,3049090,0.243962
2015,3,N/A,LONG>=5mi,1248,0.234586
2015,3,N/A,MED<5mi,2430,0.456767
2015,3,N/A,SHORT<1mi,1642,0.308647
2015,3,Queens,LONG>=5mi,618690,0.531082
2015,3,Queens,MED<5mi,404002,0.346794
2015,3,Queens,SHORT<1mi,142269,0.122123
2015,3,Staten Island,LONG>=5mi,171,0.32696
2015,3,Staten Island,MED<5mi,255,0.487572
2015,3,Staten Island,SHORT<1mi,97,0.185468
2015,3,Unknown,LONG>=5mi,30964,0.132151
2015,3,Unknown,MED<5mi,146109,0.623577
2015,3,Unknown,SHORT<1mi,57235,0.244272
2015,4,Bronx,LONG>=5mi,19861,0.158552
2015,4,Bronx,MED<5mi,79981,0.638494
2015,4,Bronx,SHORT<1mi,25423,0.202954
2015,4,Brooklyn,LONG>=5mi,165314,0.189391
2015,4,Brooklyn,MED<5mi,566885,0.649448
2015,4,Brooklyn,SHORT<1mi,140673,0.161161
2015,4,EWR,LONG>=5mi,49,0.256545
2015,4,EWR,MED<5mi,48,0.251309
2015,4,EWR,SHORT<1mi,94,0.492147
2015,4,Manhattan,LONG>=5mi,1294568,0.10543
2015,4,Manhattan,MED<5mi,8106396,0.660185
2015,4,Manhattan,SHORT<1mi,2878019,0.234386
2015,4,N/A,LONG>=5mi,1081,0.25818
2015,4,N/A,MED<5mi,1855,0.443038
2015,4,N/A,SHORT<1mi,1251,0.298782
2015,4,Queens,LONG>=5mi,620586,0.546539
2015,4,Queens,MED<5mi,386548,0.340426
2015,4,Queens,SHORT<1mi,128350,0.113035
2015,4,Staten Island,LONG>=5mi,169,0.485632
2015,4,Staten Island,MED<5mi,129,0.37069
2015,4,Staten Island,SHORT<1mi,50,0.143678
2015,4,Unknown,LONG>=5mi,27562,0.134121
2015,4,Unknown,MED<5mi,129451,0.629929
2015,4,Unknown,SHORT<1mi,48488,0.23595
2015,5,Bronx,LONG>=5mi,21055,0.161102
2015,5,Bronx,MED<5mi,83777,0.641016
2015,5,Bronx,SHORT<1mi,25862,0.197882
2015,5,Brooklyn,LONG>=5mi,187883,0.198082
2015,5,Brooklyn,MED<5mi,617473,0.650991
2015,5,Brooklyn,SHORT<1mi,143157,0.150928
2015,5,EWR,LONG>=5mi,74,0.312236
2015,5,EWR,MED<5mi,51,0.21519
2015,5,EWR,SHORT<1mi,112,0.472574
2015,5,Manhattan,LONG>=5mi,1372644,0.111356
2015,5,Manhattan,MED<5mi,8167166,0.662562
2015,5,Manhattan,SHORT<1mi,2786829,0.226082
2015,5,N/A,LONG>=5mi,1322,0.243777
2015,5,N/A,MED<5mi,2512,0.463212
2015,5,N/A,SHORT<1mi,1589,0.293011
2015,5,Queens,LONG>=5mi,680233,0.550873
2015,5,Queens,MED<5mi,421183,0.341086
2015,5,Queens,SHORT<1mi,133412,0.108041
2015,5,Staten Island,LONG>=5mi,132,0.365651
2015,5,Staten Island,MED<5mi,183,0.506925
2015,5,Staten Island,SHORT<1mi,46,0.127424
2015,5,Unknown,LONG>=5mi,25897,0.138658
2015,5,Unknown,MED<5mi,117544,0.629355
2015,5,Unknown,SHORT<1mi,43328,0.231987
2015,6,Bronx,LONG>=5mi,18865,0.163962
2015,6,Bronx,MED<5mi,72639,0.631331
2015,6,Bronx,SHORT<1mi,23553,0.204707
2015,6,Brooklyn,LONG>=5mi,154348,0.186737
2015,6,Brooklyn,MED<5mi,536377,0.648931
2015,6,Brooklyn,SHORT<1mi,135830,0.164333
2015,6,EWR,LONG>=5mi,69,0.298701
2015,6,EWR,MED<5mi,47,0.203463
2015,6,EWR,SHORT<1mi,115,0.497835
2015,6,Manhattan,LONG>=5mi,1230186,0.10625
2015,6,Manhattan,MED<5mi,7636433,0.659554
2015,6,Manhattan,SHORT<1mi,2711554,0.234195
2015,6,N/A,LONG>=5mi,1328,0.209167
2015,6,N/A,MED<5mi,3239,0.510159
2015,6,N/A,SHORT<1mi,1782,0.280674
2015,6,Queens,LONG>=5mi,645517,0.55198
2015,6,Queens,MED<5mi,395062,0.337817
2015,6,Queens,SHORT<1mi,128878,0.110203
2015,6,Staten Island,LONG>=5mi,144,0.491468
2015,6,Staten Island,MED<5mi,128,0.43686
2015,6,Staten Island,SHORT<1mi,21,0.071672
2015,6,Unknown,LONG>=5mi,22062,0.133607
2015,6,Unknown,MED<5mi,103298,0.625571
2015,6,Unknown,SHORT<1mi,39766,0.240822
2015,7,Bronx,LONG>=5mi,18024,0.173613
2015,7,Bronx,MED<5mi,64966,0.625774
2015,7,Bronx,SHORT<1mi,20827,0.200613
2015,7,Brooklyn,LONG>=5mi,147529,0.193722
2015,7,Brooklyn,MED<5mi,494037,0.648725
2015,7,Brooklyn,SHORT<1mi,119985,0.157553
2015,7,EWR,LONG>=5mi,53,0.309942
2015,7,EWR,MED<5mi,36,0.210526
2015,7,EWR,SHORT<1mi,82,0.479532
2015,7,Manhattan,LONG>=5mi,1163192,0.106932
2015,7,Manhattan,MED<5mi,7214747,0.663252
2015,7,Manhattan,SHORT<1mi,2499896,0.229816
2015,7,N/A,LONG>=5mi,1068,0.268679
2015,7,N/A,MED<5mi,1755,0.441509
2015,7,N/A,SHORT<1mi,1152,0.289811
2015,7,Queens,LONG>=5mi,608723,0.548816
2015,7,Queens,MED<5mi,383036,0.34534
2015,7,Queens,SHORT<1mi,117398,0.105844
2015,7,Staten Island,LONG>=5mi,115,0.412186
2015,7,Staten Island,MED<5mi,123,0.44086
2015,7,Staten Island,SHORT<1mi,41,0.146953
2015,7,Unknown,LONG>=5mi,20088,0.13534
2015,7,Unknown,MED<5mi,92875,0.625733
2015,7,Unknown,SHORT<1mi,35463,0.238927
2015,8,Bronx,LONG>=5mi,17845,0.184763
2015,8,Bronx,MED<5mi,60044,0.621683
2015,8,Bronx,SHORT<1mi,18694,0.193554
2015,8,Brooklyn,LONG>=5mi,148483,0.193116
2015,8,Brooklyn,MED<5mi,500659,0.651154
2015,8,Brooklyn,SHORT<1mi,119738,0.15573
2015,8,EWR,LONG>=5mi,57,0.286432
2015,8,EWR,MED<5mi,60,0.301508
2015,8,EWR,SHORT<1mi,82,0.41206
2015,8,Manhattan,LONG>=5mi,1134654,0.108702
2015,8,Manhattan,MED<5mi,6936634,0.664544
2015,8,Manhattan,SHORT<1mi,2366896,0.226754
2015,8,N/A,LONG>=5mi,1007,0.263406
2015,8,N/A,MED<5mi,1677,0.438661
2015,8,N/A,SHORT<1mi,1139,0.297934
2015,8,Queens,LONG>=5mi,630956,0.565937
2015,8,Queens,MED<5mi,370884,0.332665
2015,8,Queens,SHORT<1mi,113048,0.101399
2015,8,Staten Island,LONG>=5mi,145,0.481728
2015,8,Staten Island,MED<5mi,122,0.405316
2015,8,Staten Island,SHORT<1mi,34,0.112957
2015,8,Unknown,LONG>=5mi,19874,0.140906
2015,8,Unknown,MED<5mi,88333,0.62628
2015,8,Unknown,SHORT<1mi,32837,0.232814
2015,9,Bronx,LONG>=5mi,15628,0.176661
2015,9,Bronx,MED<5mi,54941,0.621062
2015,9,Bronx,SHORT<1mi,17894,0.202277
2015,9,Brooklyn,LONG>=5mi,144347,0.188673
2015,9,Brooklyn,MED<5mi,497097,0.649745
2015,9,Brooklyn,SHORT<1mi,123621,0.161582
2015,9,EWR,LONG>=5mi,53,0.251185
2015,9,EWR,MED<5mi,69,0.327014
2015,9,EWR,SHORT<1mi,89,0.421801
2015,9,Manhattan,LONG>=5mi,1136009,0.107871
2015,9,Manhattan,MED<5mi,6936629,0.658676
2015,9,Manhattan,SHORT<1mi,2458533,0.233453
2015,9,N/A,LONG>=5mi,986,0.274805
2015,9,N/A,MED<5mi,1510,0.420847
2015,9,N/A,SHORT<1mi,1092,0.304348
2015,9,Queens,LONG>=5mi,628245,0.575784
2015,9,Queens,MED<5mi,351805,0.322428
2015,9,Queens,SHORT<1mi,111063,0.101789
2015,9,Staten Island,LONG>=5mi,85,0.345528
2015,9,Staten Island,MED<5mi,110,0.447154
2015,9,Staten Island,SHORT<1mi,51,0.207317
2015,9,Unknown,LONG>=5mi,19424,0.139782
2015,9,Unknown,MED<5mi,86177,0.620161
2015,9,Unknown,SHORT<1mi,33358,0.240056
2015,10,Bronx,LONG>=5mi,14985,0.166304
2015,10,Bronx,MED<5mi,55983,0.621302
2015,10,Bronx,SHORT<1mi,19138,0.212394
2015,10,Brooklyn,LONG>=5mi,149588,0.180393
2015,10,Brooklyn,MED<5mi,534328,0.644363
2015,10,Brooklyn,SHORT<1mi,145318,0.175244
2015,10,EWR,LONG>=5mi,76,0.312757
2015,10,EWR,MED<5mi,54,0.222222
2015,10,EWR,SHORT<1mi,113,0.465021
2015,10,Manhattan,LONG>=5mi,1220877,0.105275
2015,10,Manhattan,MED<5mi,7626294,0.657606
2015,10,Manhattan,SHORT<1mi,2749890,0.23712
2015,10,N/A,LONG>=5mi,1063,0.259142
2015,10,N/A,MED<5mi,1778,0.433447
2015,10,N/A,SHORT<1mi,1261,0.307411
2015,10,Queens,LONG>=5mi,657170,0.568618
2015,10,Queens,MED<5mi,372947,0.322694
2015,10,Queens,SHORT<1mi,125614,0.108688
2015,10,Staten Island,LONG>=5mi,60,0.287081
2015,10,Staten Island,MED<5mi,96,0.45933
2015,10,Staten Island,SHORT<1mi,53,0.253589
2015,10,Unknown,LONG>=5mi,22363,0.138715
2015,10,Unknown,MED<5mi,100287,0.622066
2015,10,Unknown,SHORT<1mi,38566,0.239219
2015,11,Bronx,LONG>=5mi,13223,0.160267
2015,11,Bronx,MED<5mi,51613,0.625567
2015,11,Bronx,SHORT<1mi,17670,0.214166
2015,11,Brooklyn,LONG>=5mi,139063,0.18316
2015,11,Brooklyn,MED<5mi,487727,0.642384
2015,11,Brooklyn,SHORT<1mi,132455,0.174456
2015,11,EWR,LONG>=5mi,70,0.27027
2015,11,EWR,MED<5mi,48,0.185328
2015,11,EWR,SHORT<1mi,141,0.544402
2015,11,Manhattan,LONG>=5mi,1123348,0.105372
2015,11,Manhattan,MED<5mi,6998895,0.656506
2015,11,Manhattan,SHORT<1mi,2538583,0.238123
2015,11,N/A,LONG>=5mi,1002,0.232052
2015,11,N/A,MED<5mi,2029,0.469893
2015,11,N/A,SHORT<1mi,1287,0.298055
2015,11,Queens,LONG>=5mi,601998,0.559595
2015,11,Queens,MED<5mi,354145,0.3292
2015,11,Queens,SHORT<1mi,119631,0.111205
2015,11,Staten Island,LONG>=5mi,88,0.369748
2015,11,Staten Island,MED<5mi,119,0.5
2015,11,Staten Island,SHORT<1mi,31,0.130252
2015,11,Unknown,LONG>=5mi,21844,0.138532
2015,11,Unknown,MED<5mi,97649,0.619278
2015,11,Unknown,SHORT<1mi,38189,0.24219
2015,12,Bronx,LONG>=5mi,14406,0.160504
2015,12,Bronx,MED<5mi,56142,0.625503
