PU_BOROUGH,PU_ZONE,P99_DUR,P99_DIST
Staten Island,Saint George/New Brighton,598.0600000000043,19.832000000000033
Brooklyn,Marine Park/Floyd Bennett Field,441.23999999999893,52.82999999999996
Queens,Springfield Gardens North,348.73999999999694,25.949899999999936
Queens,Cambria Heights,339.8400000000001,54.19720000000002
Queens,Hammels/Arverne,278.48000000000025,34.6028
Queens,Bayside,215.6799999999995,24.434799999999925
Bronx,Van Cortlandt Park,215.3800000000028,18.053400000000032
Queens,Saint Albans,155.58999999999972,20.99259999999993
Brooklyn,Starrett City,144.10000000000048,74.02300000000001
Queens,Rockaway Park,119.72000000000003,20.979400000000002
Queens,Douglaston,114.59999999999985,29.567999999999955
Queens,South Jamaica,113.96000000000004,31.442000000000018
Staten Island,Stapleton,113.63999999999997,34.224
Brooklyn,East New York/Pennsylvania Avenue,109.84000000000003,16.116000000000003
Queens,Baisley Park,108.22000000000003,35.808600000000034
Brooklyn,Canarsie,105.91000000000065,25.106300000000005
Brooklyn,East New York,105.29999999999995,22.468999999999987
Queens,Bay Terrace/Fort Totten,104.95000000000009,22.64250000000002
Queens,Laurelton,103.44999999999996,19.685499999999994
Queens,Rosedale,100.24999999999964,24.068999999999996
Queens,Springfield Gardens South,99.57999999999993,46.605499999999985
Queens,Howard Beach,99.18999999999946,47.0769999999998
Queens,Murray Hill-Queens,98.41999999999996,26.311
Brooklyn,Marine Park/Mill Basin,92.66,27.5904
Queens,JFK Airport,91.82802633396258,28.211911612526755
Queens,Far Rockaway,90.80000000000024,24.515600000000035
Brooklyn,Erasmus,90.71999999999935,18.00399999999998
Staten Island,Mariners Harbor,86.83999999999975,46.77059999999983
Staten Island,Charleston/Tottenville,85.46000000000001,34.4166
Staten Island,Arrochar/Fort Wadsworth,83.88,40.01199999999999
Queens,Jamaica Estates,82.8399999999994,18.211999999999982
Brooklyn,Bensonhurst East,81.88000000000011,20.6736
Queens,Queens Village,80.40000000000009,21.414000000000005
Queens,Flushing Meadows-Corona Park,80.35000000000014,27.2894
Queens,South Ozone Park,79.82000000000016,32.60940000000003
Brooklyn,Cypress Hills,78.56000000000029,19.998800000000006
Brooklyn,Flatlands,78.0,19.237600000000022
Brooklyn,Bath Beach,77.62999999999992,17.755099999999995
Brooklyn,Coney Island,76.99000000000001,19.598200000000002
Bronx,Allerton/Pelham Gardens,76.91999999999985,18.25439999999999
Queens,Whitestone,76.31999999999994,33.955799999999954
Bronx,Bronx Park,75.88000000000011,19.4516
Bronx,Woodlawn/Wakefield,75.01999999999975,31.95209999999972
Queens,Glendale,73.20000000000005,17.94000000000001
Queens,Ozone Park,71.79999999999998,25.095999999999993
Brooklyn,East Flatbush/Remsen Village,70.92000000000007,16.903500000000008
Brooklyn,Bay Ridge,70.0,20.990000000000002
Brooklyn,Ocean Hill,69.9699999999998,15.437299999999981
Brooklyn,Homecrest,69.48000000000002,19.0518
N/A,Outside of NYC,69.05000000000018,30.612000000000045
Brooklyn,Borough Park,68.96000000000004,19.5866
Staten Island,Bloomfield/Emerson Hill,68.71999999999996,24.993199999999998
Staten Island,New Dorp/Midland Beach,68.46000000000001,21.025000000000006
Queens,Woodhaven,66.54999999999995,17.2426
Queens,Hollis,66.04999999999993,23.37939999999986
Queens,Briarwood/Jamaica Hills,65.56999999999994,22.752399999999852
Brooklyn,Flatbush/Ditmas Park,65.0,17.45040000000001
Brooklyn,East Flatbush/Farragut,64.77999999999997,17.355999999999995
Queens,Kew Gardens Hills,64.18999999999994,15.684699999999934
Brooklyn,Midwood,64.0,17.58399999999999
Brooklyn,Brownsville,63.600000000000364,18.8765
Queens,Fresh Meadows,63.51999999999998,22.469099999999997
Brooklyn,Manhattan Beach,62.660000000000025,38.64580000000015
Bronx,Pelham Bay Park,62.64000000000033,17.796200000000002
Brooklyn,Sunset Park East,62.0,22.017999999999983
Bronx,East Tremont,62.0,12.8711
Queens,LaGuardia Airport,61.77334652345949,17.90115033397571
Queens,College Point,61.6400000000001,17.73450000000001
Staten Island,Heartland Village/Todt Hill,60.75,24.9925
Queens,Richmond Hill,60.450000000000045,17.012000000000008
Queens,Bellerose,59.93999999999991,18.8664
Brooklyn,Bensonhurst West,59.50000000000023,19.61700000000002
Bronx,Co-Op City,59.39999999999941,19.08379999999983
Manhattan,Randalls Island,59.01999999999998,24.033399999999997
Queens,East Elmhurst,59.0,23.773999999999976
Brooklyn,Madison,59.0,17.363900000000005
Brooklyn,Stuyvesant Heights,58.074666666666594,13.74494666666663
Bronx,Williamsbridge/Olinville,57.960000000000036,17.276000000000003
Bronx,Soundview/Castle Hill,57.8900000000001,16.071200000000008
Staten Island,Great Kills,57.58,20.804
Queens,Jamaica,57.168750000000045,17.223261904761912
Queens,Queensboro Hill,57.059999999999945,14.823999999999979
Staten Island,Freshkills Park,57.0,8.82
EWR,Newark Airport,56.94999999999996,32.694999999999986
Queens,Willets Point,56.70000000000002,45.245000000000054
Queens,Maspeth,56.0,17.27199999999999
Brooklyn,Prospect-Lefferts Gardens,56.0,14.454799999999997
Brooklyn,Dyker Heights,55.81999999999999,20.5807
Brooklyn,Kensington,55.15000000000009,18.283
Manhattan,Roosevelt Island,55.0,17.2496
Bronx,Norwood,55.0,15.8058
Bronx,West Farms/Bronx River,55.0,14.883199999999961
Bronx,Bronxdale,54.74000000000001,15.1144
Queens,Ridgewood,54.0,14.692699999999993
Bronx,Pelham Parkway,53.86999999999989,16.931799999999985
Brooklyn,Sunset Park West,53.11999999999989,18.21199999999999
Bronx,Crotona Park East,52.57999999999993,15.237199999999904
Manhattan,Highbridge Park,51.98000000000002,21.205800000000004
Brooklyn,Crown Heights North,51.97580952380952,13.094291515151506
Bronx,Westchester Village/Unionport,51.08999999999992,15.407199999999994
Brooklyn,Red Hook,51.0,18.047999999999973
Brooklyn,Gravesend,50.97,31.101299999999995
Queens,East Flushing,50.51999999999998,15.84899999999999
Queens,Hillcrest/Pomonok,50.42000000000007,14.834200000000001
Manhattan,Battery Park,50.0,16.3
Queens,Queensbridge/Ravenswood,50.0,14.467000000000025
Bronx,Fordham South,50.0,13.701600000000008
Bronx,Morrisania/Melrose,50.0,12.061999999999989
Manhattan,Financial District South,49.999999999999986,17.218465909090906
Bronx,Van Nest/Morris Park,49.960000000000036,14.807200000000012
Bronx,Pelham Bay,49.94999999999993,15.57949999999999
Queens,Glen Oaks,49.639999999999986,16.457599999999996
Brooklyn,Bushwick South,49.24444444444412,13.374142857142818
Queens,Saint Michaels Cemetery/Woodside,49.089999999999975,25.338999999999572
Brooklyn,Brighton Beach,49.0,21.755400000000037
Manhattan,Washington Heights North,49.0,20.3395
Bronx,Parkchester,49.0,15.842400000000016
Brooklyn,Crown Heights South,49.0,13.392399999999979
Brooklyn,South Williamsburg,49.0,12.433999999999992
Manhattan,World Trade Center,48.99999999999999,18.684307638888917
Queens,Jamaica Bay,48.900000000000006,20.585
Queens,Breezy Point/Fort Tilden/Riis Beach,48.8,18.63
Brooklyn,Downtown Brooklyn/MetroTech,48.69567901234566,16.92958278388278
Queens,Sunnyside,48.286363636363774,13.838892561983496
Brooklyn,Bedford,48.14945454545444,12.769382812499991
Brooklyn,Bushwick North,48.0600000000004,13.343300000000022
Manhattan,Washington Heights South,48.0,18.875397402597432
Brooklyn,Windsor Terrace,48.0,16.43450000000004
Queens,Corona,48.0,13.3189
Bronx,Van Cortlandt Village,48.0,13.288499999999981
Queens,Long Island City/Hunters Point,47.99999999999999,15.489921487603315
Manhattan,Financial District North,47.85004583530894,19.244076048951047
Staten Island,Oakwood,47.67,28.165
Brooklyn,Park Slope,47.24942528735645,13.281872865275156
Manhattan,Inwood,47.21250000000009,16.201000000000022
Brooklyn,Ocean Parkway South,47.139999999999986,18.34479999999998
Staten Island,South Beach/Dongan Hills,47.129999999999995,18.002
