PU_BOROUGH,PICKUP_HOUR,AVG_YIELD_PER_MI
Bronx,0,12.025468587161122
Bronx,1,10.386110179868178
Bronx,2,14.318107179890072
Bronx,3,9.387369771820817
Bronx,4,10.739393194550114
Bronx,5,17.638569353062852
Bronx,6,13.1800446807513
Bronx,7,13.077090652447307
Bronx,8,12.29475570971648
Bronx,9,12.776175444132834
Bronx,10,16.576928747125706
Bronx,11,15.50460449480862
Bronx,12,12.37897922426893
Bronx,13,13.103813048774276
Bronx,14,13.873900335352333
Bronx,15,14.992682907143065
Bronx,16,16.514282187012018
Bronx,17,12.394108177651416
Bronx,18,14.854274239267
Bronx,19,12.604045124058162
Bronx,20,15.09526489618699
Bronx,21,13.122993614032262
Bronx,22,13.55930552792421
Bronx,23,12.728458396410577
Brooklyn,0,7.749962999311832
Brooklyn,1,7.887224636967956
Brooklyn,2,7.9682808548083
Brooklyn,3,7.152623001849723
Brooklyn,4,7.0099854668551105
Brooklyn,5,7.275028508410896
Brooklyn,6,6.19493271480344
Brooklyn,7,6.80789493513789
Brooklyn,8,7.4616555846236166
Brooklyn,9,7.3941084355910665
Brooklyn,10,7.214627774354338
Brooklyn,11,7.9639907686566325
Brooklyn,12,7.5443454414834985
Brooklyn,13,8.91674622576019
Brooklyn,14,9.45462342843169
Brooklyn,15,9.411800420629957
Brooklyn,16,12.157003818778882
Brooklyn,17,11.048044782550749
Brooklyn,18,10.331188684124621
Brooklyn,19,9.705559817080948
Brooklyn,20,8.06743970112551
Brooklyn,21,8.542600348490387
Brooklyn,22,7.745710804890406
Brooklyn,23,8.506967927484737
EWR,3,372.663448275862
EWR,4,292.22532328104506
EWR,5,1178.3734734345644
EWR,6,469.59834376630147
EWR,7,694.7778805591607
EWR,8,421.7752778664229
EWR,9,1955.9600723622782
EWR,10,547.2098012674126
EWR,11,90.2598059116809
EWR,12,334.2579714671293
EWR,13,1314.65748610754
EWR,14,590.9222244278235
EWR,15,1000.0570098299586
EWR,16,158.00435172774948
EWR,17,96.44975833293023
EWR,18,35.182681449014545
EWR,19,122.87726490261656
EWR,20,187.3311827956989
EWR,21,54.60268852411304
EWR,22,2.139729845626072
Manhattan,0,20.041708174322906
Manhattan,1,7.025722885760901
Manhattan,2,6.885949320497195
Manhattan,3,6.721021451703679
Manhattan,4,6.568667059853026
Manhattan,5,6.617340509951615
Manhattan,6,6.770875681526815
Manhattan,7,7.223244050244348
Manhattan,8,8.03671265712072
Manhattan,9,8.275070660073112
Manhattan,10,7.997562724172613
Manhattan,11,7.949392048528618
Manhattan,12,8.043901163627682
Manhattan,13,7.979447648875627
Manhattan,14,8.06062459498617
Manhattan,15,8.05218550555674
Manhattan,16,8.451209895540186
Manhattan,17,8.34997892730318
Manhattan,18,8.311741461347463
Manhattan,19,9.010188671886157
Manhattan,20,7.649187060137212
Manhattan,21,7.311510232750147
Manhattan,22,7.210367914238073
Manhattan,23,7.162416665005194
N/A,0,278.92317993199174
N/A,1,201.1573029018247
N/A,2,99.39758752011802
N/A,3,89.51139106167692
N/A,4,198.81078107495514
N/A,5,111.23513478751116
N/A,6,32.45990238153233
N/A,7,29.362164480629005
N/A,8,272.32118988883616
N/A,9,40.66073508154397
N/A,10,85.68375744831482
N/A,11,44.01418826567106
N/A,12,35.237425314544524
N/A,13,56.296328195329096
N/A,14,30.948026914919076
N/A,15,89.08352954081775
N/A,16,118.20206014088117
N/A,17,117.35178271958864
N/A,18,102.43311728460652
N/A,19,106.67767861996316
N/A,20,128.39301222537355
N/A,21,120.87993193439506
N/A,22,196.4562836834743
N/A,23,134.20885759619773
Queens,0,6.9317578999985665
Queens,1,7.726198488740292
Queens,2,7.534700122523974
Queens,3,9.068939046806682
Queens,4,8.616965881043392
Queens,5,7.540714077065095
Queens,6,9.774703705894586
Queens,7,7.410558486607374
Queens,8,8.072710833062404
Queens,9,7.198537950460233
Queens,10,5.873363270078056
Queens,11,6.641419705803951
Queens,12,6.763145733642784
Queens,13,7.5455835942265725
Queens,14,6.882979157101383
Queens,15,7.36715119142201
Queens,16,7.616774254936745
Queens,17,8.0917068502734
Queens,18,7.208681234902185
Queens,19,7.4732320224749165
Queens,20,6.8350519415738145
Queens,21,6.370509768761679
Queens,22,6.31801595969796
Queens,23,6.369445851321298
Staten Island,0,10.002467856306012
Staten Island,1,360.1809755975598
Staten Island,2,4.462650521839098
Staten Island,3,5.820599529794798
Staten Island,4,5.99678020235187
Staten Island,5,4.953797000437526
Staten Island,6,5.36943321685595
Staten Island,7,16.67921412416315
Staten Island,8,72.43150490759942
Staten Island,9,5.2997533846454505
Staten Island,10,76.11009886203703
Staten Island,11,7.3524270364549436
Staten Island,12,4.402219115630779
Staten Island,13,5.814767229845633
Staten Island,14,26.355706475758957
Staten Island,15,5.122980291598328
Staten Island,16,6.581194746888523
Staten Island,17,7.346170914844826
Staten Island,18,20.263752873678374
Staten Island,19,36.053648372465105
Staten Island,20,10.625300016027545
Staten Island,21,21.93914268290835
Staten Island,22,73.68522380476877
Staten Island,23,4.025974025974026
Unknown,0,19.321170712936574
Unknown,1,15.08472768053859
Unknown,2,28.29106574063664
Unknown,3,20.09233813706195
Unknown,4,38.42251093101817
Unknown,5,40.40651288270373
Unknown,6,28.918704867341642
Unknown,7,16.78309367265784
Unknown,8,17.56423211808848
Unknown,9,16.291833667057446
Unknown,10,19.67602930957963
Unknown,11,18.06167716472603
Unknown,12,18.102260357672563
Unknown,13,20.083626689777024
Unknown,14,23.672202299594588
Unknown,15,29.168085309762017
Unknown,16,28.95590082405624
Unknown,17,26.69665006659071
Unknown,18,22.37020744773112
Unknown,19,19.882092540975933
Unknown,20,18.864758599854817
Unknown,21,19.28675788268162
Unknown,22,20.304740099063523
Unknown,23,19.06859913858655
