PU_BOROUGH,PU_ZONE,DIA_TIPO,AVG_TOTAL_DIA
Bronx,Allerton/Pelham Gardens,NORMAL,15.800148629148632
Bronx,Bedford Park,NORMAL,12.05618357147676
Bronx,Belmont,NORMAL,13.667837031185186
Bronx,Bronx Park,NORMAL,16.621458053006226
Bronx,Bronxdale,NORMAL,14.259245773613914
Bronx,City Island,NORMAL,14.948615384615385
Bronx,Claremont/Bathgate,NORMAL,11.682401144567825
Bronx,Co-Op City,NORMAL,18.443391274950866
Bronx,Country Club,NORMAL,16.077745098039216
Bronx,Crotona Park,NORMAL,11.647291666666668
Bronx,Crotona Park East,NORMAL,12.99955285430181
Bronx,East Concourse/Concourse Village,NORMAL,11.810872594098912
Bronx,East Tremont,NORMAL,11.804197868604302
Bronx,Eastchester,NORMAL,14.660041381557512
Bronx,Fordham South,NORMAL,12.088484878144806
Bronx,Highbridge,NORMAL,11.795283324850876
Bronx,Hunts Point,NORMAL,11.461819688704184
Bronx,Kingsbridge Heights,NORMAL,12.875619745634356
Bronx,Longwood,NORMAL,11.93366582471632
Bronx,Melrose South,NORMAL,11.84886656995756
Bronx,Morrisania/Melrose,NORMAL,11.573830464390575
Bronx,Mott Haven/Port Morris,NORMAL,13.316730850676867
Bronx,Mount Hope,NORMAL,12.257392085814638
Bronx,Norwood,NORMAL,15.650813374921412
Bronx,Parkchester,NORMAL,13.275876254615179
Bronx,Pelham Bay,NORMAL,15.549239644146976
Bronx,Pelham Bay Park,NORMAL,16.802430041250236
Bronx,Pelham Parkway,NORMAL,14.727249637915289
Bronx,Rikers Island,NORMAL,29.31771739130435
Bronx,Riverdale/North Riverdale/Fieldston,NORMAL,19.74684302099329
Bronx,Schuylerville/Edgewater Park,NORMAL,19.745587163528587
Bronx,Soundview/Bruckner,NORMAL,12.29367534266058
Bronx,Soundview/Castle Hill,NORMAL,14.70490674616473
Bronx,Spuyten Duyvil/Kingsbridge,NORMAL,13.335425385826456
Bronx,University Heights/Morris Heights,NORMAL,12.67522887449261
Bronx,Van Cortlandt Park,NORMAL,16.154439556858915
Bronx,Van Cortlandt Village,NORMAL,12.33102553716626
Bronx,Van Nest/Morris Park,NORMAL,13.124270197518968
Bronx,West Concourse,NORMAL,12.365052615938167
Bronx,West Farms/Bronx River,NORMAL,12.601036211109532
Bronx,Westchester Village/Unionport,NORMAL,12.982865996565167
Bronx,Williamsbridge/Olinville,NORMAL,14.21457019061511
Bronx,Woodlawn/Wakefield,NORMAL,20.13571585791747
Brooklyn,Bath Beach,NORMAL,19.280213250517598
Brooklyn,Bay Ridge,NORMAL,20.276956516154247
Brooklyn,Bedford,NORMAL,14.12012438128781
Brooklyn,Bensonhurst East,NORMAL,17.396930770842065
Brooklyn,Bensonhurst West,NORMAL,18.32422808892473
Brooklyn,Boerum Hill,NORMAL,15.312619991158195
Brooklyn,Borough Park,NORMAL,18.695034871844964
Brooklyn,Brighton Beach,NORMAL,17.67989750856867
Brooklyn,Brooklyn Heights,NORMAL,16.78308495172938
Brooklyn,Brooklyn Navy Yard,NORMAL,14.739765280022466
Brooklyn,Brownsville,NORMAL,15.316649094094588
Brooklyn,Bushwick North,NORMAL,15.41011844850707
Brooklyn,Bushwick South,NORMAL,15.518027175515085
Brooklyn,Canarsie,NORMAL,18.981984745417872
Brooklyn,Carroll Gardens,NORMAL,16.50089275900519
Brooklyn,Clinton Hill,NORMAL,14.417531969924616
Brooklyn,Cobble Hill,NORMAL,16.688783505059458
Brooklyn,Columbia Street,NORMAL,17.697846235358956
Brooklyn,Coney Island,NORMAL,19.109987960948693
Brooklyn,Crown Heights North,NORMAL,15.177499079868895
Brooklyn,Crown Heights South,NORMAL,15.380025637220328
Brooklyn,Cypress Hills,NORMAL,21.819593711864773
Brooklyn,DUMBO/Vinegar Hill,NORMAL,17.35258818970507
Brooklyn,Downtown Brooklyn/MetroTech,NORMAL,16.391857094175958
Brooklyn,Dyker Heights,NORMAL,22.02052843915344
Brooklyn,East Flatbush/Farragut,NORMAL,17.424569150680565
Brooklyn,East Flatbush/Remsen Village,NORMAL,17.7186158551764
Brooklyn,East New York,NORMAL,21.498902399642716
Brooklyn,East New York/Pennsylvania Avenue,NORMAL,17.63758148187465
Brooklyn,East Williamsburg,NORMAL,14.814686128069194
Brooklyn,Erasmus,NORMAL,18.611094107923872
Brooklyn,Flatbush/Ditmas Park,NORMAL,17.572370107325813
Brooklyn,Flatlands,NORMAL,20.940149048846067
Brooklyn,Fort Greene,NORMAL,14.57475213334053
Brooklyn,Gowanus,NORMAL,16.1068553401285
Brooklyn,Gravesend,NORMAL,20.537550342130984
Brooklyn,Green-Wood Cemetery,NORMAL,13.996336904761904
Brooklyn,Greenpoint,NORMAL,15.283542979236646
Brooklyn,Homecrest,NORMAL,19.307271460171414
Brooklyn,Kensington,NORMAL,18.1862121386276
Brooklyn,Madison,NORMAL,15.374949731906963
Brooklyn,Manhattan Beach,NORMAL,23.953996873496873
Brooklyn,Marine Park/Floyd Bennett Field,NORMAL,40.42272727272728
Brooklyn,Marine Park/Mill Basin,NORMAL,21.82054915514593
Brooklyn,Midwood,NORMAL,17.700718624046328
Brooklyn,Ocean Hill,NORMAL,16.0060064339055
Brooklyn,Ocean Parkway South,NORMAL,15.96224453145421
Brooklyn,Park Slope,NORMAL,15.40201083988541
Brooklyn,Prospect Heights,NORMAL,15.248560765855757
Brooklyn,Prospect Park,NORMAL,15.456856980286217
Brooklyn,Prospect-Lefferts Gardens,NORMAL,16.128879200848303
Brooklyn,Red Hook,NORMAL,20.388532375776055
Brooklyn,Sheepshead Bay,NORMAL,10.73575476800462
Brooklyn,South Williamsburg,NORMAL,12.685731272008812
Brooklyn,Starrett City,NORMAL,29.651130952380953
Brooklyn,Stuyvesant Heights,NORMAL,15.669736240476833
Brooklyn,Sunset Park East,NORMAL,17.967391119181354
Brooklyn,Sunset Park West,NORMAL,17.248658195780397
Brooklyn,Williamsburg (North Side),NORMAL,15.218774923482895
Brooklyn,Williamsburg (South Side),NORMAL,15.402627495892666
Brooklyn,Windsor Terrace,NORMAL,18.196387820355252
EWR,Newark Airport,NORMAL,72.70814744738021
Manhattan,Alphabet City,NORMAL,14.044231913376732
Manhattan,Battery Park,NORMAL,19.41142304816909
Manhattan,Battery Park City,NORMAL,17.818281514462115
Manhattan,Bloomingdale,NORMAL,13.62069905664521
Manhattan,Central Harlem,NORMAL,12.477189255694233
Manhattan,Central Harlem North,NORMAL,12.329287398836438
Manhattan,Central Park,NORMAL,12.410434938128823
Manhattan,Chinatown,NORMAL,15.16165289053136
Manhattan,Clinton East,NORMAL,13.300444665988795
Manhattan,Clinton West,NORMAL,13.720731694313203
Manhattan,East Chelsea,NORMAL,13.3193281517214
Manhattan,East Harlem North,NORMAL,12.710114854837318
Manhattan,East Harlem South,NORMAL,13.003352911758027
Manhattan,East Village,NORMAL,13.61440491188642
Manhattan,Financial District North,NORMAL,19.255398956234007
Manhattan,Financial District South,NORMAL,20.202536517229568
Manhattan,Flatiron,NORMAL,12.31321074216583
Manhattan,Garment District,NORMAL,12.939500081589685
Manhattan,Governor's Island/Ellis Island/Liberty Island,NORMAL,18.979906666666665
Manhattan,Gramercy,NORMAL,12.773113670521687
Manhattan,Greenwich Village North,NORMAL,12.568599461808054
Manhattan,Greenwich Village South,NORMAL,13.579220370623679
Manhattan,Hamilton Heights,NORMAL,14.466359159814042
Manhattan,Highbridge Park,NORMAL,16.12353534248994
Manhattan,Hudson Sq,NORMAL,14.322074124538814
Manhattan,Inwood,NORMAL,15.543591052900151
Manhattan,Inwood Hill Park,NORMAL,15.671228437780858
Manhattan,Kips Bay,NORMAL,12.716751114518564
Manhattan,Lenox Hill East,NORMAL,13.586707909529208
Manhattan,Lenox Hill West,NORMAL,12.191131425208441
Manhattan,Lincoln Square East,NORMAL,12.418422264163372
Manhattan,Lincoln Square West,NORMAL,12.46645707857657
Manhattan,Little Italy/NoLiTa,NORMAL,13.961131093155434
Manhattan,Lower East Side,NORMAL,14.886080724393617
Manhattan,Manhattan Valley,NORMAL,13.037986183170247
Manhattan,Manhattanville,NORMAL,13.932647064597804
Manhattan,Marble Hill,NORMAL,11.656628858383394
Manhattan,Meatpacking/West Village West,NORMAL,13.934210023044411
Manhattan,Midtown Center,NORMAL,13.213964092421138
Manhattan,Midtown East,NORMAL,13.400790489464312
Manhattan,Midtown North,NORMAL,13.165389810308097
Manhattan,Midtown South,NORMAL,13.477916018719974
Manhattan,Morningside Heights,NORMAL,14.048511062299983
Manhattan,Murray Hill,NORMAL,12.923504020327043
Manhattan,Penn Station/Madison Sq West,NORMAL,13.231319446222836
Manhattan,Randalls Island,NORMAL,44.624502760827156
Manhattan,Roosevelt Island,NORMAL,19.173468920028018
Manhattan,Seaport,NORMAL,17.396025215241174
Manhattan,SoHo,NORMAL,13.781293751983164
Manhattan,Stuy Town/Peter Cooper Village,NORMAL,13.365169332963431
Manhattan,Sutton Place/Turtle Bay North,NORMAL,12.640031832869795
Manhattan,Times Sq/Theatre District,NORMAL,14.221926173519085
Manhattan,TriBeCa/Civic Center,NORMAL,14.976357637189759
Manhattan,Two Bridges/Seward Park,NORMAL,15.839004623304405
Manhattan,UN/Turtle Bay South,NORMAL,13.65959282136975
Manhattan,Union Sq,NORMAL,12.694836037562531
Manhattan,Upper East Side North,NORMAL,11.932806974317602
Manhattan,Upper East Side South,NORMAL,11.311836867307889
Manhattan,Upper West Side North,NORMAL,12.552557599245953
Manhattan,Upper West Side South,NORMAL,12.36716094891985
Manhattan,Washington Heights North,NORMAL,15.957497698096253
Manhattan,Washington Heights South,NORMAL,40.17032726618965
Manhattan,West Chelsea/Hudson Yards,NORMAL,13.67863346537733
Manhattan,West Village,NORMAL,23.46756442159438
Manhattan,World Trade Center,NORMAL,18.217499381105856
Manhattan,Yorkville East,NORMAL,13.41821432554546
Manhattan,Yorkville West,NORMAL,12.9772113394767
N/A,Outside of NYC,NORMAL,35.184903331787325
Queens,Astoria,NORMAL,13.266761396553973
Queens,Astoria Park,NORMAL,24.56886699948797
Queens,Auburndale,NORMAL,22.71485580952381
Queens,Baisley Park,NORMAL,58.430409254569426
Queens,Bay Terrace/Fort Totten,NORMAL,50.71598522167488
Queens,Bayside,NORMAL,22.16642297979798
Queens,Bellerose,NORMAL,17.591061315924218
Queens,Breezy Point/Fort Tilden/Riis Beach,NORMAL,46.75666666666666
Queens,Briarwood/Jamaica Hills,NORMAL,26.1797793172062
Queens,Broad Channel,NORMAL,39.825
Queens,Cambria Heights,NORMAL,30.90541666666666
Queens,College Point,NORMAL,18.473101347725056
Queens,Corona,NORMAL,14.82962774725918
Queens,Douglaston,NORMAL,28.22297101449276
Queens,East Elmhurst,NORMAL,22.096934506801666
Queens,East Flushing,NORMAL,18.59811097883598
Queens,Elmhurst,NORMAL,12.21417959021479
Queens,Elmhurst/Maspeth,NORMAL,12.689044388877052
Queens,Far Rockaway,NORMAL,30.034984855323206
Queens,Flushing,NORMAL,14.852839532923749
Queens,Flushing Meadows-Corona Park,NORMAL,42.65595443322571
Queens,Forest Hills,NORMAL,13.98130030690895
Queens,Forest Park/Highland Park,NORMAL,22.007381489262375
Queens,Fresh Meadows,NORMAL,19.831680555555558
Queens,Glen Oaks,NORMAL,17.874246065428824
Queens,Glendale,NORMAL,18.8951315206773
Queens,Hammels/Arverne,NORMAL,33.67801977165136
Queens,Hillcrest/Pomonok,NORMAL,16.169673776151072
Queens,Hollis,NORMAL,13.943181637806639
Queens,Howard Beach,NORMAL,37.8316546451914
Queens,JFK Airport,NORMAL,55.21531590654522
Queens,Jackson Heights,NORMAL,12.194727847989277
Queens,Jamaica,NORMAL,17.44750852949642
Queens,Jamaica Bay,NORMAL,35.8583572515213
Queens,Jamaica Estates,NORMAL,19.59222680992842
Queens,Kew Gardens,NORMAL,13.994281621182909
Queens,Kew Gardens Hills,NORMAL,16.95070315075888
Queens,LaGuardia Airport,NORMAL,39.286378268968654
Queens,Laurelton,NORMAL,20.388249299719888
Queens,Long Island City/Hunters Point,NORMAL,18.195437170540988
Queens,Long Island City/Queens Plaza,NORMAL,14.228775211054964
Queens,Maspeth,NORMAL,22.759591759764604
Queens,Middle Village,NORMAL,18.351056412667713
Queens,Murray Hill-Queens,NORMAL,20.8012012181367
Queens,North Corona,NORMAL,10.861298014933698
Queens,Oakland Gardens,NORMAL,20.31341666666667
Queens,Old Astoria,NORMAL,14.409152828558335
Queens,Ozone Park,NORMAL,22.951272423812746
Queens,Queens Village,NORMAL,20.447959851695146
Queens,Queensboro Hill,NORMAL,19.39295919955748
Queens,Queensbridge/Ravenswood,NORMAL,13.926302472175657
Queens,Rego Park,NORMAL,15.335003278368298
Queens,Richmond Hill,NORMAL,17.079588150001538
Queens,Ridgewood,NORMAL,15.706672421452826
Queens,Rockaway Park,NORMAL,64.90044117647058
Queens,Rosedale,NORMAL,34.291558608058615
Queens,Saint Albans,NORMAL,29.824153858784893
Queens,Saint Michaels Cemetery/Woodside,NORMAL,21.367269448097545
Queens,South Jamaica,NORMAL,50.28072384577912
Queens,South Ozone Park,NORMAL,30.88800464623706
Queens,Springfield Gardens North,NORMAL,19.398306451612903
Queens,Springfield Gardens South,NORMAL,57.39409632062371
Queens,Steinway,NORMAL,14.17666541562681
Queens,Sunnyside,NORMAL,15.90818189657353
Queens,Whitestone,NORMAL,31.62339801587302
Queens,Willets Point,NORMAL,33.11215277777777
Queens,Woodhaven,NORMAL,17.725754247205842
Queens,Woodside,NORMAL,12.725161175024427
Staten Island,Arden Heights,NORMAL,49.09
Staten Island,Arrochar/Fort Wadsworth,NORMAL,48.06543859649123
Staten Island,Bloomfield/Emerson Hill,NORMAL,57.77578947368421
Staten Island,Charleston/Tottenville,NORMAL,90.4
Staten Island,Freshkills Park,NORMAL,53.76
Staten Island,Great Kills,NORMAL,37.96666666666666
Staten Island,Grymes Hill/Clifton,NORMAL,25.787499999999998
Staten Island,Heartland Village/Todt Hill,NORMAL,39.44454761904762
Staten Island,Mariners Harbor,NORMAL,19.77325
