service,year,month,rows_loaded
green,2015,01,1508493
green,2015,02,1574830
green,2015,03,1722574
green,2015,04,1664394
green,2015,05,1786848
green,2015,06,1638868
green,2015,07,1541671
green,2015,08,1532343
green,2015,09,1494927
green,2015,10,1630536
green,2015,11,1529984
green,2015,12,1608297
green,2016,01,1445292
green,2016,02,1510722
green,2016,03,1576393
green,2016,04,1543926
green,2016,05,1536979
green,2016,06,1404727
green,2016,07,1332510
green,2016,08,1247675
green,2016,09,1162373
green,2016,10,1252572
green,2016,11,1148214
green,2016,12,1224158
green,2017,01,1069565
green,2017,02,1022313
green,2017,03,1157827
green,2017,04,1080844
green,2017,05,1059463
green,2017,06,976467
green,2017,07,914783
green,2017,08,867407
green,2017,09,882464
green,2017,10,925737
green,2017,11,874173
green,2017,12,906016
green,2018,01,792744
green,2018,02,769197
green,2018,03,836246
green,2018,04,799383
green,2018,05,796552
green,2018,06,738546
green,2018,07,684374
green,2018,08,675815
green,2018,09,682032
green,2018,10,731888
green,2018,11,673287
green,2018,12,719654
green,2019,01,672105
green,2019,02,615594
green,2019,03,643063
green,2019,04,567852
green,2019,05,545452
green,2019,06,506238
green,2019,07,470743
green,2019,08,449695
green,2019,09,449063
green,2019,10,476386
green,2019,11,449500
green,2019,12,455294
green,2020,01,447770
green,2020,02,398632
green,2020,03,223496
green,2020,04,35644
green,2020,05,57361
green,2020,06,63110
green,2020,07,72258
green,2020,08,81063
green,2020,09,87987
green,2020,10,95120
green,2020,11,88605
green,2020,12,83130
green,2021,01,76518
green,2021,02,64572
green,2021,03,83827
green,2021,04,86941
green,2021,05,88180
green,2021,06,86737
green,2021,07,83691
green,2021,08,83499
green,2021,09,95709
green,2021,10,110891
green,2021,11,108229
green,2021,12,99961
green,2022,01,62495
green,2022,02,69399
green,2022,03,78537
green,2022,04,76136
green,2022,05,76891
green,2022,06,73718
green,2022,07,64192
green,2022,08,65929
green,2022,09,69031
green,2022,10,69322
green,2022,11,62313
green,2022,12,72439
green,2023,01,68211
green,2023,02,64809
green,2023,03,72044
green,2023,04,65392
green,2023,05,69174
green,2023,06,65550
green,2023,07,61343
green,2023,08,60649
green,2023,09,65471
green,2023,10,66177
green,2023,11,64025
green,2023,12,64215
green,2024,01,56551
green,2024,02,53577
green,2024,03,57457
green,2024,04,56471
green,2024,05,61003
green,2024,06,54748
green,2024,07,51837
green,2024,08,51771
green,2024,09,54440
green,2024,10,56147
green,2024,11,52222
green,2024,12,53994
green,2025,01,48326
green,2025,02,46621
green,2025,03,51539
green,2025,04,52132
green,2025,05,55399
green,2025,06,49390
green,2025,07,48205
green,2025,08,46306
green,2025,09,0
green,2025,10,0
green,2025,11,0
green,2025,12,0
yellow,2015,01,12741035
yellow,2015,02,12442394
yellow,2015,03,13342951
yellow,2015,04,13063758
yellow,2015,05,13157677
yellow,2015,06,12324936
yellow,2015,07,11559666
yellow,2015,08,11123123
yellow,2015,09,11218122
yellow,2015,10,12307333
yellow,2015,11,11305240
yellow,2015,12,11452996
yellow,2016,01,10905067
yellow,2016,02,11375412
yellow,2016,03,12203824
yellow,2016,04,11927996
yellow,2016,05,11832049
yellow,2016,06,11131645
yellow,2016,07,10294080
yellow,2016,08,9942263
yellow,2016,09,10116018
yellow,2016,10,10854626
yellow,2016,11,10102128
yellow,2016,12,10446697
yellow,2017,01,9710820
yellow,2017,02,9169775
yellow,2017,03,10295441
yellow,2017,04,10047135
yellow,2017,05,10102127
yellow,2017,06,9656993
yellow,2017,07,8588486
yellow,2017,08,8422153
yellow,2017,09,8945421
yellow,2017,10,9768672
yellow,2017,11,9284803
yellow,2017,12,9508501
yellow,2018,01,8760687
yellow,2018,02,8492819
yellow,2018,03,9431289
yellow,2018,04,9306216
yellow,2018,05,9224788
yellow,2018,06,8714667
yellow,2018,07,7851143
yellow,2018,08,7855040
yellow,2018,09,8049094
yellow,2018,10,8834520
yellow,2018,11,8155449
yellow,2018,12,8195675
yellow,2019,01,7696617
yellow,2019,02,7049370
yellow,2019,03,7866620
yellow,2019,04,7475949
yellow,2019,05,7598445
yellow,2019,06,6971560
yellow,2019,07,6310419
yellow,2019,08,6073357
yellow,2019,09,6567788
yellow,2019,10,7213891
yellow,2019,11,6878111
yellow,2019,12,6896317
yellow,2020,01,6405008
yellow,2020,02,6299367
yellow,2020,03,3007687
yellow,2020,04,238073
yellow,2020,05,348415
yellow,2020,06,549797
yellow,2020,07,800412
yellow,2020,08,1007286
yellow,2020,09,1341017
yellow,2020,10,1681132
yellow,2020,11,1509000
yellow,2020,12,1461898
yellow,2021,01,1369769
yellow,2021,02,1371709
yellow,2021,03,1925152
yellow,2021,04,2171187
yellow,2021,05,2507109
yellow,2021,06,2834264
yellow,2021,07,2821746
yellow,2021,08,2788757
yellow,2021,09,2963793
yellow,2021,10,3463504
yellow,2021,11,3472949
yellow,2021,12,3214369
yellow,2022,01,2463931
yellow,2022,02,2979431
yellow,2022,03,3627882
yellow,2022,04,3599920
yellow,2022,05,3588295
yellow,2022,06,3558124
yellow,2022,07,3174394
yellow,2022,08,3152677
yellow,2022,09,3183767
yellow,2022,10,3675411
yellow,2022,11,3252717
yellow,2022,12,3399549
yellow,2023,01,3066766
yellow,2023,02,2913955
yellow,2023,03,3403766
yellow,2023,04,3288250
yellow,2023,05,3513649
yellow,2023,06,3307234
yellow,2023,07,2907108
yellow,2023,08,2824209
yellow,2023,09,2846722
yellow,2023,10,3522285
yellow,2023,11,3339715
yellow,2023,12,3376567
yellow,2024,01,2964624
yellow,2024,02,3007526
yellow,2024,03,3582628
yellow,2024,04,3514289
yellow,2024,05,3723833
yellow,2024,06,3539193
yellow,2024,07,3076903
yellow,2024,08,2979183
yellow,2024,09,3633030
yellow,2024,10,3833771
yellow,2024,11,3646369
yellow,2024,12,3668371
yellow,2025,01,3475226
yellow,2025,02,3577543
yellow,2025,03,4145257
yellow,2025,04,3970553
yellow,2025,05,4591845
yellow,2025,06,4322960
yellow,2025,07,3898963
yellow,2025,08,3574091
yellow,2025,09,0
yellow,2025,10,0
yellow,2025,11,0
yellow,2025,12,0
